LSOAs,Median_houseP
E01004060,284.25
E01003936,465
E01003937,250
E01003943,246
E01032720,220
E01003977,156.5
E01004037,188.75
E01004038,183
E01004042,222
E01004043,340
E01003986,164.75
E01003987,249.995
E01004024,199
E01004035,183.475
E01003960,295
E01003961,194
E01003994,220
E01032722,230
E01003980,201.5
E01004039,219.75
E01004040,169.25
E01004041,181.5
E01004044,284.5
E01003992,249.975
E01003995,250
E01003998,322.7
E01003999,225
E01032639,305
E01032719,342.13
E01003964,441.5
E01003966,193.5
E01003968,138
E01003971,#VALUE!
E01003974,125
E01003963,195
E01003967,202
E01003970,264.4
E01003972,215
E01003973,186.5
E01003923,286.25
E01003969,244.5
E01003991,250
E01003993,130
E01003997,339
E01003983,127
E01003988,200
E01003989,130
E01003990,225
E01004007,210
E01003912,124
E01004011,160
E01004012,198.75
E01004013,161
E01004014,177.5
E01003911,268
E01003916,290
E01003917,392.5
E01003918,155
E01003925,290
E01003919,352.475
E01003920,159
E01003921,192.85
E01003922,220
E01003924,232.5
E01003926,202
E01004008,167.5
E01004010,180
E01004067,247.5
E01032805,215
E01003984,236.375
E01004003,207.5
E01004004,273
E01004005,189.975
E01004006,270
E01003913,412.5
E01003914,461.502
E01003915,242
E01004050,254
E01004052,294.5
E01004061,463
E01004062,249.95
E01004063,443.375
E01004065,444.25
E01004066,310
E01004000,250
E01004001,320
E01004019,338.75
E01004064,237
E01004068,209.75
E01004045,188.5
E01004047,185
E01004048,343.75
E01004049,323
E01004051,236.5
E01003953,430
E01003955,372
E01004015,327.5
E01004021,323
E01004046,321.333
E01004002,389.75
E01004016,330
E01004017,300
E01004020,195
E01003952,560
E01003954,464
E01003956,410
E01004071,354
E01004072,652.95
E01004069,975
E01004070,412.5
E01004073,652.5
E01004074,695
E01004075,1087.5
E01003949,250
E01003950,228.5
E01003957,294
E01003958,410.5
E01004018,295
E01003945,316.5
E01003946,359.5
E01003947,238
E01003948,245.75
E01003951,575
E01003930,280
E01003932,250
E01003933,304
E01032583,385
E01032584,350
E01004222,201
E01004223,217.5
E01004224,249.998
E01004226,212
E01004197,272.5
E01004198,272.5
E01004199,219
E01004201,297.125
E01004228,385
E01004230,285
E01004232,537
E01004233,241
E01004234,552.5
E01004225,290
E01004229,247
E01004231,236
E01032764,231.25
E01032765,250
E01032784,240
E01004200,320
E01004202,245
E01004203,275
E01004204,235
E01004311,270
E01004314,620
E01004315,373.5
E01004318,216
E01004259,246
E01004260,235
E01004263,219.75
E01004266,472.5
E01004235,190
E01004236,170
E01004237,180
E01004238,250
E01004239,182.75
E01004312,220
E01004313,317.5
E01004316,352.5
E01004317,355
E01004261,236.375
E01004262,235
E01004264,220
E01032785,340
E01032786,226.375
E01004207,312.5
E01004209,222.498
E01004212,250
E01032787,238.5
E01004240,223.75
E01004241,212
E01004242,260
E01004267,227
E01004268,241.3
E01004205,217
E01004206,220
E01004208,218
E01004211,246.25
E01004269,242.5
E01004270,350
E01004271,221
E01004272,220
E01004273,310
E01004306,400
E01004307,413
E01004308,250.75
E01004309,250
E01004310,339.5
E01004283,237.5
E01004287,249.999
E01004289,315
E01004290,399.995
E01004322,244.5
E01004323,205
E01004324,285
E01004326,220
E01004245,172
E01004246,276.5
E01004248,168
